A,B,Source,Note,Text
Lucy Hargreaves,Build Toronto,https://buildtoronto.com/about,,
Lucy Hargreaves,Canada Spends,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Lucy Hargreaves,Mona Fortier,https://www.hilltimes.com/story/2021/06/17/hargreaves-exits-as-chief-of-staff-to-associate-finance-minister-fortier/280501/,,
Lucy Hargreaves,Patch,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Macdonald Laurier Institute,Atlas Network,,Member,The Macdonald Laurier Institute is a member of the Atlas network.
Mamy Rakotomalala,Build Canada,https://www.buildcanada.com/en/about,,
Manitoba Strong,Canada Proud,,,
Maple Leaf Strategies,Enbridge,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Maple Leaf Strategies,Meta,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Marc Fielding,Build Canada,https://www.buildcanada.com/en/about,,
Marco Martinez,Build Canada,https://www.buildcanada.com/en/about,,
Martin Basiri,ApplyBoard,https://betakit.com/applyboard-co-founder-launches-passage-to-address-canadas-skilled-worker-shortage-with-40-million-seed-round/,,
Martin Basiri,Build Canada,https://www.buildcanada.com/en/memos,,
Martin Basiri,Passage,https://betakit.com/applyboard-co-founder-launches-passage-to-address-canadas-skilled-worker-shortage-with-40-million-seed-round/,,
Martin Kon,Cohere,https://en.wikipedia.org/wiki/Cohere,,
Matt Cohen,Build Canada,https://www.buildcanada.com/en/memos,,
Matt Cohen,Ripple Ventures,https://www.buildcanada.com/en/memos,,
Mattamy Homes,Ontario Proud,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Matthew Conway,Capital Hill Group,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Matthew Conway,Conservative Party of Canada,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Matthew Conway,Conway Directions,,,
Matthew Conway,Maple Leaf Strategies,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Matthew Conway,Pierre Poilievre,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Mazyar Mortazavi,Build Canada,https://www.buildcanada.com/en/memos,,
Mazyar Mortazavi,TAS,https://www.buildcanada.com/en/memos,,
Melody Kuo,Build Canada,https://www.buildcanada.com/en/about,,
Michael Binnion,Canada Strong and Free Network,https://www.desmog.com/canada-strong-and-free-network/,Board of Directors,Canada Strong and Free is closely tied to Michael Binnion and his Modern Miracle Network.
Michael Bowling,AI Strategy Task Force,https://www.canada.ca/en/innovation-science-economic-development/news/2025/09/government-of-canada-launches-ai-strategy-task-force-and-public-engagement-on-the-development-of-the-next-ai-strategy.html,Member,
Michael Katchen,Build Canada,,,
Michael Katchen,Canadian Business Council,,,
Michael Katchen,Wealth Simple,,,
Michael Litt,Build Canada,https://www.buildcanada.com/en/memos,,
Michael Litt,Donna Litt,https://donnamlitt.substack.com/p/litt-wit-newsletter,,
Michael Litt,Vidyard,https://www.buildcanada.com/en/memos,,
Michael Serbinis,AI Strategy Task Force,https://www.canada.ca/en/innovation-science-economic-development/news/2025/09/government-of-canada-launches-ai-strategy-task-force-and-public-engagement-on-the-development-of-the-next-ai-strategy.html,Member,
Michael Serbinis,AI Strategy Task Force,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Michael Serbinis,Build Canada,https://www.buildcanada.com/en/memos,,
Michael Serbinis,Kobo,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Michael Serbinis,League,https://www.buildcanada.com/en/memos,,
Michael Serbinis,Microsoft,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Michael Serbinis,Victor Institute,,,
Michael Serbinis,Zip2,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Mickey McNamara,Zekelman Industries,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Mikaal Naik,Build Canada,https://www.buildcanada.com/en/about,,
Mike Murchison,Ada,https://www.buildcanada.com/en/memos,,
Mike Murchison,Build Canada,https://www.buildcanada.com/en/memos,,
Mike Murchison,Build Toronto,https://buildtoronto.com/memos,,
Mina Mitry,Build Canada,https://www.buildcanada.com/en/memos,,
Mina Mitry,Kepler,https://www.buildcanada.com/en/memos,,
Mobilize Media,Pierre Poilievre,https://www.cbc.ca/news/politics/poilievre-ballingall-conservative-leadership-canada-proud-1.6433088,,
Mona Fortier,Liberal Party of Canada,https://www.hilltimes.com/story/2021/06/17/hargreaves-exits-as-chief-of-staff-to-associate-finance-minister-fortier/280501/,,
Nelson Lee,Build Canada,https://www.buildcanada.com/en/memos,,
Newfoundland Proud,Canada Proud,,,
Newfoundland Proud,Canada Strong and Proud/Proud to Be a Canadian,,,
Nick Frosst,Cohere,https://en.wikipedia.org/wiki/Cohere,,
Nova Scotia Proud,Canada Proud,,,
Nova Scotia Proud,Canada Strong and Proud/Proud to Be a Canadian,,,
Ontario Strong,Canada Proud,,,
Paige Macpherson,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Paige Macpherson,Fraser Institute,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Peter Carrescia,Build Canada,https://www.buildcanada.com/en/memos,,
Peter Carrescia,GoConfirm,https://www.buildcanada.com/en/memos,,
Peter Thiel,Rypple,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Peter Thiel,Sullivan & Cromwell,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Pierre Poilievre,Brian Felesky,,,
Pierre Poilievre,Canada Proud,,,
Pierre Poilievre,Canada Strong and Free Network,,,
Pierre Poilievre,Pathways Alliance,,,
Proudly New Brunswick,Canada Proud,,,
Proudly New Brunswick,Canada Strong and Proud/Proud to Be a Canadian,,,
Quebec Fier,Canada Proud,,,
Quebec Proud,Canada Proud,,,
Quebec Proud,Canada Strong and Proud/Proud to Be a Canadian,,,
Rachel Parker,Danielle Smith,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Rachel Parker,Juno News (Formerly True North),https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Rex Murphy,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Rex Murphy,National Post,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Richard Abboud,Build Canada,https://www.buildcanada.com/en/memos,,
Richard Abboud,Forum Asset Management,https://www.buildcanada.com/en/memos,,
Roger Martin,Rypple,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Roger Martin,Workbrain,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Roger Schagrin,Barry Zekelman,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Ruchish Shah,Build Canada,https://www.buildcanada.com/en/about,,
Rupa Subramanya,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Ryan Manucha,Build Canada,https://www.buildcanada.com/en/about,,
Samantha Tom,Borrowell,https://rocketreach.co/borrowell-management_b5fb8fa8f73779c9,,
Sara Hooker,Cohere,https://en.wikipedia.org/wiki/Cohere,,
Saskatchewan Strong,Canada Proud,,,
Satish Kanwar,Build Canada,,,
Satish Kanwar,Shopify,,,
Second Street,Atlas Network,https://www.desmog.com/secondstreet-org/,Member,Second Street is a member of the Atlas network.
Seymour Schulich,David Stein,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Seymour Schulich,Rypple,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Shane Parrish,Build Canada,https://www.buildcanada.com/en/memos,,
Shane Parrish,Farnam Street,https://www.buildcanada.com/en/memos,,
Shaun Francis,Build Canada,https://www.buildcanada.com/en/memos,,
Shaun Francis,Fraser Institute,https://www.fraserinstitute.org/profile/shaun-c-francis,,
Shaun Francis,Medcan,https://www.buildcanada.com/en/memos,,
Shelley Crowley,Brian Lee Crowley,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Shelley Crowley,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Som Seif,Build Canada,https://www.buildcanada.com/en/memos,,
Som Seif,Purpose Unlimited,https://www.buildcanada.com/en/memos,,
Stephen Lake,Build Canada,,,
Stewart Lyons,Bird,https://www.buildcanada.com/en/memos,,
Stewart Lyons,Build Canada,https://www.buildcanada.com/en/memos,,
Strathcona Resources,Greenfield Resources,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,MEG Energy Corporation,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,Osum Oil Sands Corporation,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,Tourmaline Oil Corporation,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Sue Ann Levy,Juno News (Formerly True North),https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Suncor,Pathways Alliance,https://www.desmog.com/pathways-alliance/,Member,Suncor is a member of the Pathways Alliance.
Tarun Sachdeva,Build Toronto,https://buildtoronto.com/memos,,
Tarun Sachdeva,Market.Dev,https://buildtoronto.com/memos,,
Tasha Kheiriddin,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
The Post Millennial,Human Events,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Tobias Lutke,Build Canada,https://www.buildcanada.com/en/memos,,
Tobias Lutke,Coinbase,https://www.coinbase.com/en-sg/blog/tobias-lutke-ceo-of-shopify-to-join-coinbase-board-of-directors,,
Tobias Lutke,Shopify,https://www.buildcanada.com/en/memos,,
Toby Shannan,Build Canada,https://www.buildcanada.com/en/memos,,
Toby Shannan,Shopify,https://www.buildcanada.com/en/memos,,
Tyler Russell,Canada First,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Tyler Russell,Plaid Army,https://www.antihate.ca/canada_first_exposed_tyler_russell,,
Tyler Russell,Ryerson Conservatives,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Waterous Energy Fund,Strathcona Resources,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Wayne Pommen,Affirm Holdings,https://investors.affirm.com/management/wayne-pommen,,
Wayne Pommen,Build Canada,https://www.buildcanada.com/en/memos,,
Wayne Pommen,Elevate,https://elevate.ca/speakers/wayne-pommen/,,
Wayne Pommen,Paybright,https://www.buildcanada.com/en/memos,,
West Coast Proud,Canada Proud,,,
William McBeath,Canada Strong and Free Network,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
William McBeath,Juno News (Formerly True North),https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Zander Fraser,Build Canada,https://www.buildcanada.com/en/about,,
Zara Safsovski,Build Canada,https://www.buildcanada.com/en/about,,
Zara Safsovski,Glide AI,https://www.linkedin.com/in/zarasafsovski/?originalSubdomain=ca,,
Zara Safsovski,TD Bank,https://www.linkedin.com/in/zarasafsovski/?originalSubdomain=ca,,
Zekelman Industries,America First Action PAC,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Zita Cobb,Build Canada,https://www.buildcanada.com/en/memos,,
Zita Cobb,Shorefast,https://www.buildcanada.com/en/memos,,
Justin Sky,Build Canada,,,
